sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
1.116,	1.558,	1.789,	1.156,	-296.8,	6.245,	2.768
1.337,	1.558,	1.789,	1.156,	-296.8,	6.251,	3.107
1.558,	1.558,	1.789,	1.156,	-296.8,	6.375,	2.798
1.779,	1.558,	1.789,	1.156,	-297.3,	6.645,	2.94
2.0,	1.558,	1.789,	1.156,	-297.3,	6.685,	2.941
0.01,	1.779,	1.789,	1.156,	-292.3,	2.313,	1.096
0.2311,	1.779,	1.789,	1.156,	-295.6,	5.17,	3.048
0.4522,	1.779,	1.789,	1.156,	-296.6,	5.919,	3.229
0.6733,	1.779,	1.789,	1.156,	-296.8,	6.15,	3.069
0.8944,	1.779,	1.789,	1.156,	-296.5,	6.044,	2.688
1.116,	1.779,	1.789,	1.156,	-296.1,	5.75,	2.4
1.337,	1.779,	1.789,	1.156,	-297.4,	6.694,	2.831
1.558,	1.779,	1.789,	1.156,	-297.1,	6.665,	2.665
1.779,	1.779,	1.789,	1.156,	-297.9,	7.334,	2.723
2.0,	1.779,	1.789,	1.156,	-296.6,	6.309,	2.133
0.01,	2.0,	1.789,	1.156,	-292.3,	2.294,	1.37
0.2311,	2.0,	1.789,	1.156,	-295.5,	5.147,	2.604
0.4522,	2.0,	1.789,	1.156,	-296.2,	5.591,	2.938
0.6733,	2.0,	1.789,	1.156,	-295.9,	5.638,	2.18
0.8944,	2.0,	1.789,	1.156,	-297.3,	6.822,	2.987
1.116,	2.0,	1.789,	1.156,	-297.0,	6.427,	3.078
1.337,	2.0,	1.789,	1.156,	-297.8,	7.361,	2.692
1.558,	2.0,	1.789,	1.156,	-297.7,	7.133,	3.326
1.779,	2.0,	1.789,	1.156,	-297.3,	6.86,	3.034
2.0,	2.0,	1.789,	1.156,	-297.5,	7.032,	2.471
0.01,	0.01,	2.0,	1.156,	-332.0,	0.2905,	0.8532
0.2311,	0.01,	2.0,	1.156,	-335.2,	3.102,	2.336
0.4522,	0.01,	2.0,	1.156,	-335.4,	3.452,	1.841
0.6733,	0.01,	2.0,	1.156,	-335.7,	3.88,	1.786
0.8944,	0.01,	2.0,	1.156,	-336.0,	3.999,	1.952
1.116,	0.01,	2.0,	1.156,	-336.4,	4.415,	2.241
1.337,	0.01,	2.0,	1.156,	-336.9,	5.053,	1.879
1.558,	0.01,	2.0,	1.156,	-336.9,	4.958,	2.52
1.779,	0.01,	2.0,	1.156,	-337.0,	5.059,	1.809
2.0,	0.01,	2.0,	1.156,	-336.9,	4.934,	2.537
0.01,	0.2311,	2.0,	1.156,	-330.2,	0.8327,	1.428
0.2311,	0.2311,	2.0,	1.156,	-332.6,	2.769,	3.239
0.4522,	0.2311,	2.0,	1.156,	-333.2,	3.633,	2.67
0.6733,	0.2311,	2.0,	1.156,	-334.0,	4.436,	2.802
0.8944,	0.2311,	2.0,	1.156,	-334.4,	4.763,	2.955
1.116,	0.2311,	2.0,	1.156,	-334.6,	4.95,	2.61
1.337,	0.2311,	2.0,	1.156,	-334.4,	4.963,	2.561
1.558,	0.2311,	2.0,	1.156,	-334.8,	5.466,	2.423
1.779,	0.2311,	2.0,	1.156,	-334.9,	5.283,	2.681
2.0,	0.2311,	2.0,	1.156,	-335.0,	5.312,	2.514
0.01,	0.4522,	2.0,	1.156,	-331.0,	1.542,	1.816
0.2311,	0.4522,	2.0,	1.156,	-333.8,	4.121,	2.74
0.4522,	0.4522,	2.0,	1.156,	-333.9,	4.215,	2.62
0.6733,	0.4522,	2.0,	1.156,	-334.7,	4.997,	2.986
0.8944,	0.4522,	2.0,	1.156,	-334.5,	4.853,	2.832
1.116,	0.4522,	2.0,	1.156,	-334.4,	4.803,	2.433
1.337,	0.4522,	2.0,	1.156,	-335.3,	5.678,	2.876
1.558,	0.4522,	2.0,	1.156,	-335.0,	5.372,	2.87
1.779,	0.4522,	2.0,	1.156,	-335.2,	5.528,	2.866
2.0,	0.4522,	2.0,	1.156,	-335.1,	5.43,	2.504
0.01,	0.6733,	2.0,	1.156,	-330.7,	1.589,	1.235
0.2311,	0.6733,	2.0,	1.156,	-333.8,	4.05,	2.419
0.4522,	0.6733,	2.0,	1.156,	-334.0,	4.348,	3.001
0.6733,	0.6733,	2.0,	1.156,	-335.1,	5.41,	2.884
0.8944,	0.6733,	2.0,	1.156,	-334.8,	5.35,	2.703
1.116,	0.6733,	2.0,	1.156,	-335.6,	5.856,	2.941
1.337,	0.6733,	2.0,	1.156,	-336.2,	6.415,	3.228
1.558,	0.6733,	2.0,	1.156,	-335.7,	6.159,	2.313
1.779,	0.6733,	2.0,	1.156,	-335.4,	5.692,	2.698
2.0,	0.6733,	2.0,	1.156,	-336.2,	6.54,	2.998
0.01,	0.8944,	2.0,	1.156,	-331.3,	1.891,	1.679
0.2311,	0.8944,	2.0,	1.156,	-334.9,	5.22,	3.182
0.4522,	0.8944,	2.0,	1.156,	-334.9,	5.184,	2.93
0.6733,	0.8944,	2.0,	1.156,	-334.6,	4.914,	2.815
0.8944,	0.8944,	2.0,	1.156,	-335.4,	5.743,	2.706
1.116,	0.8944,	2.0,	1.156,	-336.2,	6.542,	2.941
1.337,	0.8944,	2.0,	1.156,	-335.9,	6.058,	3.014
1.558,	0.8944,	2.0,	1.156,	-336.1,	6.33,	3.483
1.779,	0.8944,	2.0,	1.156,	-336.1,	6.564,	2.604
2.0,	0.8944,	2.0,	1.156,	-336.3,	6.522,	3.132
0.01,	1.116,	2.0,	1.156,	-331.5,	2.2,	1.519
0.2311,	1.116,	2.0,	1.156,	-334.7,	5.117,	2.984
0.4522,	1.116,	2.0,	1.156,	-334.6,	5.033,	2.535
0.6733,	1.116,	2.0,	1.156,	-335.0,	5.31,	2.773
0.8944,	1.116,	2.0,	1.156,	-335.7,	5.912,	3.035
1.116,	1.116,	2.0,	1.156,	-336.3,	6.689,	2.647
1.337,	1.116,	2.0,	1.156,	-335.8,	5.977,	2.858
1.558,	1.116,	2.0,	1.156,	-336.5,	7.03,	2.422
1.779,	1.116,	2.0,	1.156,	-336.3,	6.881,	2.244
2.0,	1.116,	2.0,	1.156,	-335.9,	6.463,	2.287
0.01,	1.337,	2.0,	1.156,	-331.9,	2.488,	1.798
0.2311,	1.337,	2.0,	1.156,	-334.3,	4.696,	2.231
0.4522,	1.337,	2.0,	1.156,	-335.2,	5.717,	2.427
0.6733,	1.337,	2.0,	1.156,	-335.3,	5.667,	2.849
0.8944,	1.337,	2.0,	1.156,	-335.5,	5.947,	2.616
1.116,	1.337,	2.0,	1.156,	-336.1,	6.265,	3.309
1.337,	1.337,	2.0,	1.156,	-336.8,	6.931,	3.205
1.558,	1.337,	2.0,	1.156,	-336.7,	7.085,	3.013
1.779,	1.337,	2.0,	1.156,	-336.9,	7.326,	3.256
2.0,	1.337,	2.0,	1.156,	-337.0,	7.455,	2.61
0.01,	1.558,	2.0,	1.156,	-331.9,	2.588,	1.759
0.2311,	1.558,	2.0,	1.156,	-334.0,	4.265,	2.144
0.4522,	1.558,	2.0,	1.156,	-335.1,	5.46,	2.502
0.6733,	1.558,	2.0,	1.156,	-335.6,	5.8,	2.9
0.8944,	1.558,	2.0,	1.156,	-336.1,	6.509,	3.046
1.116,	1.558,	2.0,	1.156,	-336.2,	6.482,	3.1
1.337,	1.558,	2.0,	1.156,	-335.9,	6.421,	2.293
1.558,	1.558,	2.0,	1.156,	-336.8,	7.132,	2.915
1.779,	1.558,	2.0,	1.156,	-336.1,	6.543,	2.398
2.0,	1.558,	2.0,	1.156,	-336.5,	6.914,	2.096
0.01,	1.779,	2.0,	1.156,	-332.0,	2.522,	1.762
0.2311,	1.779,	2.0,	1.156,	-334.8,	5.073,	2.828
0.4522,	1.779,	2.0,	1.156,	-335.3,	5.605,	2.72
0.6733,	1.779,	2.0,	1.156,	-335.3,	5.476,	3.155
0.8944,	1.779,	2.0,	1.156,	-335.8,	6.031,	3.085
1.116,	1.779,	2.0,	1.156,	-336.5,	6.982,	2.523
1.337,	1.779,	2.0,	1.156,	-336.5,	6.889,	2.778
1.558,	1.779,	2.0,	1.156,	-336.6,	6.85,	2.609
1.779,	1.779,	2.0,	1.156,	-336.0,	6.572,	2.397
2.0,	1.779,	2.0,	1.156,	-336.9,	7.002,	3.403
0.01,	2.0,	2.0,	1.156,	-332.0,	2.656,	1.529
0.2311,	2.0,	2.0,	1.156,	-335.4,	5.877,	3.013
0.4522,	2.0,	2.0,	1.156,	-336.0,	6.14,	3.097
0.6733,	2.0,	2.0,	1.156,	-335.6,	6.086,	2.459
0.8944,	2.0,	2.0,	1.156,	-336.6,	6.922,	3.104
1.116,	2.0,	2.0,	1.156,	-336.9,	7.29,	2.781
1.337,	2.0,	2.0,	1.156,	-337.3,	7.596,	3.06
1.558,	2.0,	2.0,	1.156,	-336.8,	7.135,	2.784
1.779,	2.0,	2.0,	1.156,	-336.6,	6.942,	3.247
2.0,	2.0,	2.0,	1.156,	-337.0,	7.411,	2.894
0.01,	0.01,	0.1,	1.367,	-380.0,	1.644,	8.998
0.2311,	0.01,	0.1,	1.367,	-259.0,	13.26,	4.535
0.4522,	0.01,	0.1,	1.367,	-250.1,	5.427,	1.949
0.6733,	0.01,	0.1,	1.367,	-247.8,	3.36,	1.498
0.8944,	0.01,	0.1,	1.367,	-246.7,	2.208,	1.249
1.116,	0.01,	0.1,	1.367,	-246.5,	2.015,	1.174
1.337,	0.01,	0.1,	1.367,	-246.6,	2.059,	1.349
1.558,	0.01,	0.1,	1.367,	-246.4,	2.077,	1.141
1.779,	0.01,	0.1,	1.367,	-246.7,	2.245,	1.103
2.0,	0.01,	0.1,	1.367,	-246.4,	2.05,	0.9173
0.01,	0.2311,	0.1,	1.367,	-382.4,	3.364,	8.558
0.2311,	0.2311,	0.1,	1.367,	-263.5,	17.06,	7.791
0.4522,	0.2311,	0.1,	1.367,	-252.4,	7.521,	2.942
0.6733,	0.2311,	0.1,	1.367,	-250.6,	5.581,	2.952
0.8944,	0.2311,	0.1,	1.367,	-249.9,	4.516,	3.599
1.116,	0.2311,	0.1,	1.367,	-249.0,	4.134,	2.264
1.337,	0.2311,	0.1,	1.367,	-248.9,	3.893,	2.761
1.558,	0.2311,	0.1,	1.367,	-249.2,	4.047,	2.93
1.779,	0.2311,	0.1,	1.367,	-249.1,	4.129,	2.395
2.0,	0.2311,	0.1,	1.367,	-249.4,	4.395,	3.242
0.01,	0.4522,	0.1,	1.367,	-382.9,	3.791,	7.21
0.2311,	0.4522,	0.1,	1.367,	-261.3,	14.33,	6.899
0.4522,	0.4522,	0.1,	1.367,	-253.7,	8.599,	3.832
0.6733,	0.4522,	0.1,	1.367,	-251.4,	6.276,	2.834
0.8944,	0.4522,	0.1,	1.367,	-250.2,	5.292,	2.577
1.116,	0.4522,	0.1,	1.367,	-250.2,	5.219,	3.154
1.337,	0.4522,	0.1,	1.367,	-249.9,	4.838,	2.891
1.558,	0.4522,	0.1,	1.367,	-250.0,	5.013,	2.539
1.779,	0.4522,	0.1,	1.367,	-249.8,	4.694,	2.669
2.0,	0.4522,	0.1,	1.367,	-250.1,	4.863,	2.838
0.01,	0.6733,	0.1,	1.367,	-383.4,	4.133,	6.399
0.2311,	0.6733,	0.1,	1.367,	-263.7,	17.53,	6.804
0.4522,	0.6733,	0.1,	1.367,	-253.7,	8.559,	2.963
0.6733,	0.6733,	0.1,	1.367,	-250.9,	5.989,	2.445
0.8944,	0.6733,	0.1,	1.367,	-250.8,	5.877,	2.172
1.116,	0.6733,	0.1,	1.367,	-250.2,	5.12,	2.65
1.337,	0.6733,	0.1,	1.367,	-250.2,	5.317,	2.754
1.558,	0.6733,	0.1,	1.367,	-249.7,	4.645,	2.637
1.779,	0.6733,	0.1,	1.367,	-249.6,	4.714,	2.402
2.0,	0.6733,	0.1,	1.367,	-250.5,	5.525,	2.645
0.01,	0.8944,	0.1,	1.367,	-383.9,	4.947,	6.919
0.2311,	0.8944,	0.1,	1.367,	-263.7,	17.03,	9.941
0.4522,	0.8944,	0.1,	1.367,	-253.0,	7.903,	2.817
0.6733,	0.8944,	0.1,	1.367,	-251.9,	7.039,	2.733
0.8944,	0.8944,	0.1,	1.367,	-251.2,	6.259,	2.354
1.116,	0.8944,	0.1,	1.367,	-250.6,	5.594,	2.748
1.337,	0.8944,	0.1,	1.367,	-250.2,	5.282,	2.477
1.558,	0.8944,	0.1,	1.367,	-250.4,	5.344,	2.951
1.779,	0.8944,	0.1,	1.367,	-250.7,	5.887,	2.438
2.0,	0.8944,	0.1,	1.367,	-250.0,	5.148,	2.514
0.01,	1.116,	0.1,	1.367,	-384.3,	5.278,	8.04
0.2311,	1.116,	0.1,	1.367,	-264.4,	17.23,	11.47
0.4522,	1.116,	0.1,	1.367,	-254.2,	8.96,	3.409
0.6733,	1.116,	0.1,	1.367,	-252.6,	7.364,	3.199
0.8944,	1.116,	0.1,	1.367,	-251.2,	6.304,	2.567
1.116,	1.116,	0.1,	1.367,	-251.1,	6.158,	2.96
1.337,	1.116,	0.1,	1.367,	-250.2,	5.047,	3.29
1.558,	1.116,	0.1,	1.367,	-250.8,	5.634,	2.58
1.779,	1.116,	0.1,	1.367,	-250.4,	5.402,	2.745
2.0,	1.116,	0.1,	1.367,	-251.3,	6.137,	3.018
0.01,	1.337,	0.1,	1.367,	-384.0,	4.614,	6.992
0.2311,	1.337,	0.1,	1.367,	-264.8,	18.07,	8.508
0.4522,	1.337,	0.1,	1.367,	-253.6,	8.692,	2.921
0.6733,	1.337,	0.1,	1.367,	-252.4,	7.147,	3.625
0.8944,	1.337,	0.1,	1.367,	-250.7,	5.703,	2.389
1.116,	1.337,	0.1,	1.367,	-250.8,	5.849,	2.369
1.337,	1.337,	0.1,	1.367,	-251.0,	5.979,	2.784
1.558,	1.337,	0.1,	1.367,	-250.8,	5.668,	2.9
1.779,	1.337,	0.1,	1.367,	-251.0,	5.979,	2.77
2.0,	1.337,	0.1,	1.367,	-251.2,	6.078,	3.098
0.01,	1.558,	0.1,	1.367,	-384.5,	5.268,	7.442
0.2311,	1.558,	0.1,	1.367,	-264.9,	17.9,	11.38
0.4522,	1.558,	0.1,	1.367,	-254.5,	9.615,	2.808
0.6733,	1.558,	0.1,	1.367,	-252.9,	7.75,	2.807
0.8944,	1.558,	0.1,	1.367,	-251.1,	6.167,	2.831
1.116,	1.558,	0.1,	1.367,	-251.6,	6.619,	3.037
1.337,	1.558,	0.1,	1.367,	-250.6,	5.535,	2.806
1.558,	1.558,	0.1,	1.367,	-250.8,	5.627,	2.913
1.779,	1.558,	0.1,	1.367,	-251.4,	6.467,	2.783
2.0,	1.558,	0.1,	1.367,	-251.3,	6.287,	2.839
0.01,	1.779,	0.1,	1.367,	-384.5,	5.211,	8.471
0.2311,	1.779,	0.1,	1.367,	-265.7,	19.18,	9.498
0.4522,	1.779,	0.1,	1.367,	-254.3,	9.061,	3.297
0.6733,	1.779,	0.1,	1.367,	-252.0,	7.039,	2.813
0.8944,	1.779,	0.1,	1.367,	-251.4,	6.464,	2.694
1.116,	1.779,	0.1,	1.367,	-251.7,	6.548,	3.1
1.337,	1.779,	0.1,	1.367,	-250.6,	5.809,	2.519
1.558,	1.779,	0.1,	1.367,	-251.5,	6.409,	2.665
1.779,	1.779,	0.1,	1.367,	-250.8,	5.789,	2.797
2.0,	1.779,	0.1,	1.367,	-251.4,	6.511,	2.893
0.01,	2.0,	0.1,	1.367,	-384.8,	5.48,	7.609
0.2311,	2.0,	0.1,	1.367,	-266.8,	19.95,	12.04
0.4522,	2.0,	0.1,	1.367,	-254.5,	9.157,	3.725
0.6733,	2.0,	0.1,	1.367,	-252.3,	7.234,	2.952
0.8944,	2.0,	0.1,	1.367,	-251.2,	6.169,	2.579
1.116,	2.0,	0.1,	1.367,	-251.4,	6.406,	2.338
1.337,	2.0,	0.1,	1.367,	-251.3,	6.157,	3.198
1.558,	2.0,	0.1,	1.367,	-251.1,	6.215,	2.326
1.779,	2.0,	0.1,	1.367,	-251.4,	6.427,	2.781
2.0,	2.0,	0.1,	1.367,	-251.1,	6.282,	2.388
0.01,	0.01,	0.3111,	1.367,	-330.6,	0.8165,	4.242
0.2311,	0.01,	0.3111,	1.367,	-255.1,	9.542,	4.988
0.4522,	0.01,	0.3111,	1.367,	-248.2,	3.844,	1.483
0.6733,	0.01,	0.3111,	1.367,	-246.7,	2.242,	1.27
0.8944,	0.01,	0.3111,	1.367,	-246.5,	1.945,	1.181
1.116,	0.01,	0.3111,	1.367,	-246.2,	1.888,	1.117
1.337,	0.01,	0.3111,	1.367,	-246.5,	1.987,	1.244
1.558,	0.01,	0.3111,	1.367,	-246.5,	2.035,	1.226
1.779,	0.01,	0.3111,	1.367,	-246.5,	2.199,	1.146
2.0,	0.01,	0.3111,	1.367,	-246.7,	2.293,	1.059
0.01,	0.2311,	0.3111,	1.367,	-333.0,	2.721,	5.689
0.2311,	0.2311,	0.3111,	1.367,	-257.7,	11.2,	7.119
0.4522,	0.2311,	0.3111,	1.367,	-251.3,	6.252,	3.739
0.6733,	0.2311,	0.3111,	1.367,	-249.1,	4.28,	2.391
0.8944,	0.2311,	0.3111,	1.367,	-249.0,	3.978,	2.485
1.116,	0.2311,	0.3111,	1.367,	-249.0,	4.09,	2.365
1.337,	0.2311,	0.3111,	1.367,	-248.5,	3.614,	2.774
1.558,	0.2311,	0.3111,	1.367,	-249.3,	4.366,	2.794
1.779,	0.2311,	0.3111,	1.367,	-249.3,	4.255,	3.209
2.0,	0.2311,	0.3111,	1.367,	-249.5,	4.625,	2.65
0.01,	0.4522,	0.3111,	1.367,	-334.2,	3.589,	5.518
0.2311,	0.4522,	0.3111,	1.367,	-257.9,	12.14,	7.617
0.4522,	0.4522,	0.3111,	1.367,	-251.8,	6.704,	3.896
0.6733,	0.4522,	0.3111,	1.367,	-249.3,	4.374,	2.462
0.8944,	0.4522,	0.3111,	1.367,	-249.5,	4.607,	2.434
1.116,	0.4522,	0.3111,	1.367,	-249.2,	4.024,	2.503
1.337,	0.4522,	0.3111,	1.367,	-249.2,	4.266,	2.484
1.558,	0.4522,	0.3111,	1.367,	-249.0,	4.466,	1.224
1.779,	0.4522,	0.3111,	1.367,	-249.5,	4.499,	2.601
2.0,	0.4522,	0.3111,	1.367,	-249.9,	4.914,	2.593
0.01,	0.6733,	0.3111,	1.367,	-334.3,	3.825,	5.431
0.2311,	0.6733,	0.3111,	1.367,	-259.0,	12.91,	6.11
0.4522,	0.6733,	0.3111,	1.367,	-252.0,	6.93,	3.36
0.6733,	0.6733,	0.3111,	1.367,	-250.6,	5.484,	3.229
0.8944,	0.6733,	0.3111,	1.367,	-250.3,	5.347,	2.696
1.116,	0.6733,	0.3111,	1.367,	-250.5,	5.432,	2.964
1.337,	0.6733,	0.3111,	1.367,	-249.9,	4.751,	2.868
1.558,	0.6733,	0.3111,	1.367,	-250.7,	5.497,	3.411
1.779,	0.6733,	0.3111,	1.367,	-250.1,	5.18,	2.455
2.0,	0.6733,	0.3111,	1.367,	-249.9,	4.862,	2.627
0.01,	0.8944,	0.3111,	1.367,	-334.2,	3.854,	4.998
0.2311,	0.8944,	0.3111,	1.367,	-259.3,	13.37,	7.552
0.4522,	0.8944,	0.3111,	1.367,	-252.1,	7.181,	2.725
0.6733,	0.8944,	0.3111,	1.367,	-250.0,	5.218,	2.12
0.8944,	0.8944,	0.3111,	1.367,	-249.8,	4.726,	2.378
1.116,	0.8944,	0.3111,	1.367,	-249.9,	4.802,	3.095
1.337,	0.8944,	0.3111,	1.367,	-249.5,	4.548,	2.228
1.558,	0.8944,	0.3111,	1.367,	-250.4,	5.222,	3.259
1.779,	0.8944,	0.3111,	1.367,	-250.2,	5.273,	2.613
2.0,	0.8944,	0.3111,	1.367,	-250.8,	5.829,	3.085
0.01,	1.116,	0.3111,	1.367,	-334.0,	3.8,	3.686
0.2311,	1.116,	0.3111,	1.367,	-258.5,	12.55,	6.044
0.4522,	1.116,	0.3111,	1.367,	-251.9,	6.923,	3.299
0.6733,	1.116,	0.3111,	1.367,	-250.9,	5.796,	3.072
0.8944,	1.116,	0.3111,	1.367,	-250.4,	5.459,	2.504
1.116,	1.116,	0.3111,	1.367,	-249.9,	5.006,	2.281
1.337,	1.116,	0.3111,	1.367,	-250.5,	5.533,	2.872
1.558,	1.116,	0.3111,	1.367,	-250.1,	5.15,	2.361
1.779,	1.116,	0.3111,	1.367,	-249.8,	4.935,	2.392
2.0,	1.116,	0.3111,	1.367,	-250.7,	5.559,	3.195
0.01,	1.337,	0.3111,	1.367,	-334.8,	4.896,	6.519
0.2311,	1.337,	0.3111,	1.367,	-260.3,	13.47,	8.379
0.4522,	1.337,	0.3111,	1.367,	-251.8,	6.752,	2.98
0.6733,	1.337,	0.3111,	1.367,	-251.0,	5.886,	2.821
0.8944,	1.337,	0.3111,	1.367,	-251.0,	6.006,	2.485
1.116,	1.337,	0.3111,	1.367,	-250.8,	5.966,	2.559
1.337,	1.337,	0.3111,	1.367,	-251.3,	6.428,	3.056
1.558,	1.337,	0.3111,	1.367,	-250.6,	5.673,	2.794
1.779,	1.337,	0.3111,	1.367,	-250.7,	5.912,	2.405
2.0,	1.337,	0.3111,	1.367,	-251.3,	6.404,	2.706
0.01,	1.558,	0.3111,	1.367,	-334.7,	4.308,	4.767
0.2311,	1.558,	0.3111,	1.367,	-259.5,	13.28,	8.686
0.4522,	1.558,	0.3111,	1.367,	-252.8,	7.605,	3.085
0.6733,	1.558,	0.3111,	1.367,	-250.8,	5.849,	2.627
0.8944,	1.558,	0.3111,	1.367,	-251.2,	6.251,	3.26
1.116,	1.558,	0.3111,	1.367,	-250.9,	5.72,	2.654
1.337,	1.558,	0.3111,	1.367,	-250.6,	5.747,	2.53
1.558,	1.558,	0.3111,	1.367,	-251.7,	6.701,	2.804
1.779,	1.558,	0.3111,	1.367,	-250.8,	5.985,	2.473
2.0,	1.558,	0.3111,	1.367,	-250.7,	5.742,	2.516
0.01,	1.779,	0.3111,	1.367,	-335.4,	5.132,	4.679
0.2311,	1.779,	0.3111,	1.367,	-259.4,	12.93,	7.683
0.4522,	1.779,	0.3111,	1.367,	-253.1,	8.044,	2.758
0.6733,	1.779,	0.3111,	1.367,	-251.2,	6.219,	2.385
0.8944,	1.779,	0.3111,	1.367,	-250.1,	5.215,	2.196
1.116,	1.779,	0.3111,	1.367,	-251.1,	6.149,	3.307
1.337,	1.779,	0.3111,	1.367,	-250.3,	5.422,	2.434
1.558,	1.779,	0.3111,	1.367,	-251.4,	6.489,	2.595
1.779,	1.779,	0.3111,	1.367,	-251.1,	5.995,	2.637
2.0,	1.779,	0.3111,	1.367,	-251.0,	5.893,	2.864
0.01,	2.0,	0.3111,	1.367,	-335.1,	5.049,	5.732
0.2311,	2.0,	0.3111,	1.367,	-259.2,	13.51,	5.532
0.4522,	2.0,	0.3111,	1.367,	-253.3,	8.302,	3.11
0.6733,	2.0,	0.3111,	1.367,	-251.3,	6.33,	2.696
0.8944,	2.0,	0.3111,	1.367,	-251.3,	6.41,	2.25
1.116,	2.0,	0.3111,	1.367,	-251.1,	5.924,	3.063
1.337,	2.0,	0.3111,	1.367,	-251.4,	6.195,	2.988
1.558,	2.0,	0.3111,	1.367,	-250.8,	6.007,	2.511
1.779,	2.0,	0.3111,	1.367,	-251.1,	6.142,	2.589
2.0,	2.0,	0.3111,	1.367,	-250.7,	5.693,	2.358
0.01,	0.01,	0.5222,	1.367,	-292.5,	0.4435,	2.048
0.2311,	0.01,	0.5222,	1.367,	-250.8,	5.669,	4.16
0.4522,	0.01,	0.5222,	1.367,	-246.5,	1.936,	1.236
0.6733,	0.01,	0.5222,	1.367,	-246.4,	1.932,	1.218
0.8944,	0.01,	0.5222,	1.367,	-246.4,	1.766,	1.556
1.116,	0.01,	0.5222,	1.367,	-246.4,	1.865,	1.473
1.337,	0.01,	0.5222,	1.367,	-246.2,	1.779,	0.9457
1.558,	0.01,	0.5222,	1.367,	-246.0,	1.615,	1.052
1.779,	0.01,	0.5222,	1.367,	-246.4,	1.938,	1.085
2.0,	0.01,	0.5222,	1.367,	-246.5,	2.061,	1.087
0.01,	0.2311,	0.5222,	1.367,	-295.1,	2.652,	3.79
0.2311,	0.2311,	0.5222,	1.367,	-253.1,	7.323,	6.08
0.4522,	0.2311,	0.5222,	1.367,	-249.1,	4.093,	2.399
0.6733,	0.2311,	0.5222,	1.367,	-248.7,	3.787,	2.549
0.8944,	0.2311,	0.5222,	1.367,	-248.4,	3.562,	2.255
1.116,	0.2311,	0.5222,	1.367,	-249.5,	4.169,	3.743
1.337,	0.2311,	0.5222,	1.367,	-248.8,	3.804,	2.555
1.558,	0.2311,	0.5222,	1.367,	-249.1,	4.076,	3.06
1.779,	0.2311,	0.5222,	1.367,	-248.8,	4.1,	2.501
2.0,	0.2311,	0.5222,	1.367,	-248.4,	3.393,	2.526
0.01,	0.4522,	0.5222,	1.367,	-295.3,	2.829,	3.433
0.2311,	0.4522,	0.5222,	1.367,	-254.2,	8.631,	5.771
0.4522,	0.4522,	0.5222,	1.367,	-249.8,	4.826,	2.888
0.6733,	0.4522,	0.5222,	1.367,	-249.1,	4.094,	3.116
0.8944,	0.4522,	0.5222,	1.367,	-249.5,	4.287,	2.749
1.116,	0.4522,	0.5222,	1.367,	-249.3,	4.443,	2.585
1.337,	0.4522,	0.5222,	1.367,	-249.0,	4.171,	2.737
1.558,	0.4522,	0.5222,	1.367,	-249.0,	4.126,	2.583
1.779,	0.4522,	0.5222,	1.367,	-249.5,	4.438,	2.7
2.0,	0.4522,	0.5222,	1.367,	-249.2,	4.241,	2.299
0.01,	0.6733,	0.5222,	1.367,	-295.7,	3.562,	3.155
0.2311,	0.6733,	0.5222,	1.367,	-254.2,	8.263,	5.365
0.4522,	0.6733,	0.5222,	1.367,	-251.0,	6.016,	2.643
0.6733,	0.6733,	0.5222,	1.367,	-249.7,	4.636,	3.038
0.8944,	0.6733,	0.5222,	1.367,	-249.4,	4.405,	2.858
1.116,	0.6733,	0.5222,	1.367,	-250.3,	5.244,	2.97
1.337,	0.6733,	0.5222,	1.367,	-250.4,	5.404,	3.201
1.558,	0.6733,	0.5222,	1.367,	-249.7,	4.744,	2.605
1.779,	0.6733,	0.5222,	1.367,	-250.2,	5.029,	2.778
2.0,	0.6733,	0.5222,	1.367,	-250.0,	5.016,	2.335
0.01,	0.8944,	0.5222,	1.367,	-296.4,	3.784,	3.008
0.2311,	0.8944,	0.5222,	1.367,	-254.7,	9.142,	4.498
0.4522,	0.8944,	0.5222,	1.367,	-250.7,	5.715,	2.714
0.6733,	0.8944,	0.5222,	1.367,	-250.0,	4.975,	2.554
0.8944,	0.8944,	0.5222,	1.367,	-250.2,	5.041,	2.998
1.116,	0.8944,	0.5222,	1.367,	-249.7,	4.734,	2.762
1.337,	0.8944,	0.5222,	1.367,	-250.1,	5.04,	3.046
1.558,	0.8944,	0.5222,	1.367,	-250.5,	5.39,	3.415
1.779,	0.8944,	0.5222,	1.367,	-250.1,	5.14,	2.765
2.0,	0.8944,	0.5222,	1.367,	-250.6,	5.605,	2.608
0.01,	1.116,	0.5222,	1.367,	-296.3,	3.965,	3.039
0.2311,	1.116,	0.5222,	1.367,	-254.7,	9.066,	5.173
0.4522,	1.116,	0.5222,	1.367,	-251.0,	5.87,	3.092
0.6733,	1.116,	0.5222,	1.367,	-250.3,	5.25,	2.249
0.8944,	1.116,	0.5222,	1.367,	-249.8,	4.932,	2.407
1.116,	1.116,	0.5222,	1.367,	-250.1,	5.131,	2.423
1.337,	1.116,	0.5222,	1.367,	-250.3,	5.419,	3.104
1.558,	1.116,	0.5222,	1.367,	-251.1,	5.97,	3.178
1.779,	1.116,	0.5222,	1.367,	-250.7,	5.832,	2.441
2.0,	1.116,	0.5222,	1.367,	-249.8,	5.011,	2.556
