sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
0.01,	0.4522,	0.3111,	0.1,	-331.5,	7.715,	4.353
0.2311,	0.4522,	0.3111,	0.1,	-256.6,	16.13,	5.526
0.4522,	0.4522,	0.3111,	0.1,	-250.2,	10.72,	2.627
0.6733,	0.4522,	0.3111,	0.1,	-248.6,	9.12,	2.249
0.8944,	0.4522,	0.3111,	0.1,	-247.9,	8.432,	2.028
1.116,	0.4522,	0.3111,	0.1,	-248.2,	8.751,	2.304
1.337,	0.4522,	0.3111,	0.1,	-248.3,	8.956,	2.483
1.558,	0.4522,	0.3111,	0.1,	-248.6,	9.325,	2.013
1.779,	0.4522,	0.3111,	0.1,	-248.9,	9.434,	2.71
2.0,	0.4522,	0.3111,	0.1,	-248.2,	8.885,	2.117
0.01,	0.6733,	0.3111,	0.1,	-330.2,	5.247,	5.181
0.2311,	0.6733,	0.3111,	0.1,	-254.9,	14.18,	6.33
0.4522,	0.6733,	0.3111,	0.1,	-247.0,	7.46,	2.667
0.6733,	0.6733,	0.3111,	0.1,	-246.3,	7.018,	2.161
0.8944,	0.6733,	0.3111,	0.1,	-245.2,	5.928,	1.527
1.116,	0.6733,	0.3111,	0.1,	-245.1,	5.816,	1.972
1.337,	0.6733,	0.3111,	0.1,	-245.4,	6.002,	1.991
1.558,	0.6733,	0.3111,	0.1,	-245.6,	6.42,	1.834
1.779,	0.6733,	0.3111,	0.1,	-245.0,	5.748,	1.887
2.0,	0.6733,	0.3111,	0.1,	-245.7,	6.152,	2.06
0.01,	0.8944,	0.3111,	0.1,	-328.2,	3.702,	3.524
0.2311,	0.8944,	0.3111,	0.1,	-252.9,	13.09,	5.316
0.4522,	0.8944,	0.3111,	0.1,	-246.4,	6.963,	2.354
0.6733,	0.8944,	0.3111,	0.1,	-245.0,	5.716,	1.998
0.8944,	0.8944,	0.3111,	0.1,	-245.0,	5.442,	2.127
1.116,	0.8944,	0.3111,	0.1,	-244.2,	4.881,	2.028
1.337,	0.8944,	0.3111,	0.1,	-244.2,	4.826,	2.015
1.558,	0.8944,	0.3111,	0.1,	-245.2,	5.821,	2.431
1.779,	0.8944,	0.3111,	0.1,	-244.5,	5.224,	1.863
2.0,	0.8944,	0.3111,	0.1,	-244.1,	4.722,	2.417
0.01,	1.116,	0.3111,	0.1,	-328.5,	3.655,	4.256
0.2311,	1.116,	0.3111,	0.1,	-253.9,	13.43,	6.339
0.4522,	1.116,	0.3111,	0.1,	-245.8,	6.431,	2.141
0.6733,	1.116,	0.3111,	0.1,	-244.4,	5.106,	1.602
0.8944,	1.116,	0.3111,	0.1,	-244.2,	4.995,	1.774
1.116,	1.116,	0.3111,	0.1,	-244.1,	4.706,	1.993
1.337,	1.116,	0.3111,	0.1,	-244.0,	4.741,	1.948
1.558,	1.116,	0.3111,	0.1,	-244.1,	4.601,	2.133
1.779,	1.116,	0.3111,	0.1,	-244.9,	5.525,	2.411
2.0,	1.116,	0.3111,	0.1,	-244.6,	5.227,	2.263
0.01,	1.337,	0.3111,	0.1,	-328.5,	3.481,	3.942
0.2311,	1.337,	0.3111,	0.1,	-252.5,	11.87,	5.926
0.4522,	1.337,	0.3111,	0.1,	-245.8,	6.226,	2.991
0.6733,	1.337,	0.3111,	0.1,	-244.8,	5.541,	1.8
0.8944,	1.337,	0.3111,	0.1,	-244.3,	4.965,	2.451
1.116,	1.337,	0.3111,	0.1,	-243.7,	4.28,	1.831
1.337,	1.337,	0.3111,	0.1,	-244.3,	4.802,	2.076
1.558,	1.337,	0.3111,	0.1,	-244.4,	4.856,	2.085
1.779,	1.337,	0.3111,	0.1,	-243.7,	4.415,	1.601
2.0,	1.337,	0.3111,	0.1,	-244.6,	5.284,	1.913
0.01,	1.558,	0.3111,	0.1,	-327.9,	3.085,	4.421
0.2311,	1.558,	0.3111,	0.1,	-252.0,	12.14,	4.242
0.4522,	1.558,	0.3111,	0.1,	-246.5,	7.097,	2.414
0.6733,	1.558,	0.3111,	0.1,	-244.6,	5.132,	2.386
0.8944,	1.558,	0.3111,	0.1,	-243.8,	4.533,	1.812
1.116,	1.558,	0.3111,	0.1,	-243.8,	4.499,	1.597
1.337,	1.558,	0.3111,	0.1,	-244.0,	4.546,	2.175
